Unnamed: 0,BattleName,URL,StartDate,EndDate,Location,Outcome,Belligerents_Right,Belligerents_Left,Strength_Right,Strength_Left,Casualties and losses_Right,Casualties and losses_Left,StartDate_clean,EndDate_clean,casualties_dict_right,casualties_dict_left,strength_dict_right,strength_dict_left
186,Third Battle of the Isonzo,https://en.wikipedia.org/wiki/Third_Battle_of_the_Isonzo,18-Oct,4-Nov-15,"Soča river, western Slovenia",Austro-Hungarian victoryFailed Italian offensive,Italy,Austria-Hungary,"338 battalions130 cavalry squadrons1,250 artillery pieces",137 + 47 battalions604 artillery pieces.,"67,008[1]–80,000[2]10,733–20,000 killed44,290–60,000 wounded11,985 missing or captured","41,847:[1]8,228 killed26,418 wounded7,201 missing or captured",10/18/1915,11/4/1915,"{'killed': [20000.0], 'wounded': [60000.0], 'missing': [11985.0]}","{'killed': [8228.0], 'wounded': [26418.0], 'missing': [7201.0]}","{'battalions': [338.0], 'cavalry': [130.0], 'artillery': [1250.0]}","{'battalions': [47.0], 'artillery': [604.0]}"
187,Battle of Arras (1917),https://en.wikipedia.org/wiki/Battle_of_Arras_(1917),9-Apr,16-May-17,"Arras, France50°17′23″N 2°46′51″E﻿ / ﻿50.28972°N 2.78083°E﻿ / 50.28972; 2.78083",See § Analysis,"United Kingdom and Empire:

 Canada
 Australia
 Newfoundland
 New Zealand
 South Africa",German Empire,First day:14 divisions9 divisions in reserve,First day:12 divisions5 divisions in reserve,"158,000","120,000–130,000",4/9/1917,5/16/1917,{},{},"{'divisions': [14.0, 9.0]}","{'divisions': [12.0, 5.0]}"
188,Battle of Tornio (1918),https://en.wikipedia.org/wiki/Battle_of_Tornio_(1918),6-Feb-18,6-Feb-18,"Tornio, Finland",White victory,Finnish Whites Swedish Brigade,Finnish Reds Russian Garrison,278 Whites175 Swedish Volunteers,Around 200 RedsAround 450 Russians,9 in total,Around 40 Dead360 Russian Prisoners70–80 Red Prisoners3 executed,2/6/1918,2/6/1918,{'in': [9.0]},"{'dead': [40.0], 'russian': [360.0], 'red': [80.0], 'executed': [3.0]}","{'whites': [278.0], 'swedish': [175.0]}","{'redsaround': [200.0], 'russians': [450.0]}"
189,Battle of Vimy Ridge,https://en.wikipedia.org/wiki/Battle_of_Vimy_Ridge,9,12 April 1917 (1917-04-09,"Vimy, Pas-de-Calais, France50°22′46″N 02°46′26″E﻿ / ﻿50.37944°N 2.77389°E﻿ / 50.37944; 2.77389",British Empire victory,Canada United Kingdom,German Empire,"4 Canadian divisions1 British divisionTotal: 170,000 men[1]","3 divisions Total: 30,000–45,000 men[2]","3,598 dead7,004 wounded[3][4]","Unknown casualties4,000 captured[4]",4/9/1917,4/12/1917,"{'dead': [3598.0], 'wounded': [7004.0]}",{'captured': [4000.0]},"{'total': [170000.0], 'canadian': [4.0], 'british': [1.0], 'troops': [170000.0]}","{'total': [30000.0], 'divisions': [3.0], 'troops': [30000.0, 45000.0]}"
190,Battle of Hyvinkää,https://en.wikipedia.org/wiki/Battle_of_Hyvink%C3%A4%C3%A4,19,21 April 1918(2 days),"Hyvinkää, Finland60°37′49.055″N 24°51′31.684″E﻿ / ﻿60.63029306°N 24.85880111°E﻿ / 60.63029306; 24.85880111",German victory,German Empire,Finnish Reds,"c. 3,000 Germans",300–500 in the combat units,21 Germans killed,c. 50 killed or executed,4/19/1918,4/21/1918,{'germans': [21.0]},{'killed': [50.0]},{'germans': [3000.0]},"{'troops': [300.0, 500.0]}"
191,Northern front of the Battle of Transylvania,https://en.wikipedia.org/wiki/Northern_front_of_the_Battle_of_Transylvania,27-Aug,16-Oct-16,"Northeastern Transylvania, Austria-Hungary (today in Romania)",Romanian tactical victory,Romania,Austria-Hungary Germany Székely partisans [citation needed],,,Negligible overallBattle of the Kelemen Mountains:136 killed55 prisoners,"First day of the Romanian offensive:741 prisonersFinal phase of the Romanian offensive:1,753 prisoners4 machine gunsBattle of the Kelemen Mountains:10 killed63 wounded44 prisoners82 missing",8/27/1916,10/16/1916,"{'killed': [136.0], 'prisoners': [55.0]}","{'prisonersfinal': [741.0], 'prisoners': [1753.0, 44.0], 'machine': [4.0], 'killed': [10.0], 'wounded': [63.0], 'missing': [82.0]}",{},{}
192,Battle of Charah,https://en.wikipedia.org/wiki/Battle_of_Charah,12,17-Mar-18,"Kuhnashahir (modern day Tazeh Shahr), Salmas, Persia",Assyrian victory,Assyrian volunteers,Shekak tribe,Unknown,Unknown,"150 killed (during the assassination of Shimun XIX Benyamin)[1]

48 killed (during the battle)[2]",500+[citation needed],3/12/1918,3/17/1918,"{'killed': [150.0, 48.0]}",{},{},{}
193,Battle of La Malmaison,https://en.wikipedia.org/wiki/Battle_of_La_Malmaison,23,27-Oct-17,France49°28′17″N 03°29′10″E﻿ / ﻿49.47139°N 3.48611°E﻿ / 49.47139; 3.48611,French victory,France,German Empire,"6th Army(XI CorpsXIV CorpsXXI Corps)7 divisions1,845 guns64 tanks",7th Army,"12,000–14,000","18,000–50,000",10/23/1917,10/27/1917,{},{},"{'divisions': [7.0], 'guns': [1845.0], 'tanks': [64.0]}",{}
194,Battle of Gully Ravine,https://en.wikipedia.org/wiki/Battle_of_Gully_Ravine,28-Jun,5-Jul-15,Cape Helles,British victory,"British Empire

 India
 United Kingdom",Ottoman Empire,Unknown,"13,000[2]","3,800[3]","6,000[4]",6/28/1915,7/5/1915,{},{},{},{'troops': [13000.0]}
195,First Battle of Cobadin,https://en.wikipedia.org/wiki/First_Battle_of_Cobadin,17,19-Sep-16,"Rasova, Cobadin, Tuzla; Romania",Entente victory,Bulgaria German Empire Ottoman Empire,Romania Russian Empire,55 battalions and 24 squadrons 4 battalions and 3 squadrons 3 battalions(initially)Total: 62 battalions and 27 squadrons[1],Total: 70+ battalions and 41 squadrons[1]4 river monitors,"Bulgaria 704 killed, 4,778 wounded, 611 missing German Empire unknown Ottoman Empire 36 killed, 348 wounded 62 missingTotal: Over 740 killed, 5,126 wounded, 673 missing[2]",Unknown,9/17/1916,9/19/1916,"{'killed': [704.0, 36.0, 740.0], 'wounded': [4778.0, 348.0, 5126.0], 'missing': [611.0, 673.0], 'missingtotal': [62.0]}",{},"{'total': [62.0], 'battalions': [55.0, 4.0, 3.0, 62.0], 'squadrons': [24.0, 3.0, 27.0]}","{'total': [70.0], 'squadrons': [41.0], 'river': [4.0]}"
196,Siege of Tsingtao,https://en.wikipedia.org/wiki/Battle_of_Tsingtao,(1914-08-27) (1914-11-07)August 27,"November 7, 1914(2 months, 1 week and 4 days)","Qingdao, Kiautschou Bay, German Empire36°4′N 120°23′E﻿ / ﻿36.067°N 120.383°E﻿ / 36.067; 120.383",Anglo–Japanese victory,"Japan
 United Kingdom
Naval support:
 France","Germany
 Austria-Hungary","24,500
1 seaplane carrier
5 battleships
2 battlecruisers
1 protected cruiser
2 destroyers
2 airplanes","3,750[1]
1 protected cruiser
1 unprotected cruiser
1 torpedo boat
4 gunboats
2 airplanes","727 killed[2]
1,335 wounded
1 protected cruiser sunk
1 destroyer sunk
1 battleship damaged
1 airplane destroyed","199 killed
504 wounded
3,047 captured
1 protected cruiser scuttled
1 unprotected cruiser scuttled
1 torpedo boat scuttled
4 gunboats scuttled",8/27/1914,11/7/1914,"{'killed': [727.0], 'wounded': [1335.0], 'protected': [1.0], 'destroyer': [1.0], 'battleship': [1.0], 'airplane': [1.0]}","{'killed': [199.0], 'wounded': [504.0], 'captured': [3047.0], 'protected': [1.0], 'unprotected': [1.0], 'torpedo': [1.0], 'gunboats': [4.0]}","{'seaplane': [1.0], 'battleships': [5.0], 'battlecruisers': [2.0], 'protected': [1.0], 'destroyers': [2.0], 'airplanes': [2.0]}","{'protected': [1.0], 'unprotected': [1.0], 'torpedo': [1.0], 'gunboats': [4.0], 'airplanes': [2.0]}"
197,Second Battle of the Marne,https://en.wikipedia.org/wiki/Second_Battle_of_the_Marne,15-Jul,18-Jul-18,"Marne River near Paris, France49°5′N 3°40′E﻿ / ﻿49.083°N 3.667°E﻿ / 49.083; 3.667",Entente victory,Entente Powers: France United States United Kingdom Italy Russia Siam[1],Central Powers: German Empire,44 French divisions8 American divisions4 British divisions4 Russian divisions2 Italian divisionsTotal:58 divisions408 heavy guns360 field batteries346 tanks,"52 divisions609 heavy guns1,047 field batteries","95,165 16,552 12,000 9,334","168,000 casualties (including 29,367 captured)793 guns lost[2]",7/15/1918,7/18/1918,{},"{'casualties': [168000.0], 'captured': [29367.0], 'guns': [793.0]}","{'total': [58.0], 'french': [44.0], 'american': [8.0], 'british': [4.0], 'russian': [4.0], 'italian': [2.0], 'divisions': [58.0], 'heavy': [408.0], 'field': [360.0], 'tanks': [346.0]}","{'divisions': [52.0], 'heavy': [609.0], 'field': [1047.0]}"
198,First Battle of the Masurian Lakes,https://en.wikipedia.org/wiki/First_Battle_of_the_Masurian_Lakes,2,16-Sep-14,"East Prussia, Germany (present-day Russia and Poland)",German victory,Germany,Russian Empire,"Total 244,391 men[1]7 military corps[2]1,146 guns400 machine guns","Total 150,000[a][5] to 210,000[6]724 guns[7] 4 corps and one division.","(1 - 30.09.1914):1,555 killed10,412 wounded1,552 missingTotal 13,515[8]Lost:[9] 17 guns 17 machine guns

10,000[10][11] killed, wounded and missing[12][13][14] Other Estimate: 40,000 killed and wounded[15]","100,000[16][17]–125,000 killed, wounded and captured,[18][19][20]Lost:[21] 162 guns 174 machine guns

Russian Estimate:about 60,000 died, wounded and prisoners[22][23][24] German data: 100,000 men, including 45,000 prisoners[25]",9/2/1914,9/16/1914,"{'total': [13515.0], 'killed': [1555.0, 10000.0, 40000.0], 'wounded': [10412.0], 'missingtotal': [1552.0], 'guns': [17.0], 'machine': [17.0]}","{'killed': [125000.0], 'guns': [162.0], 'machine': [174.0], 'died': [60000.0], 'men': [100000.0], 'prisoners': [45000.0]}","{'total': [244391.0], 'troops': [244391.0], 'military': [7.0], 'guns': [1146.0], 'machine': [400.0]}","{'total': [150000.0], 'to': [150000.0], 'guns': [210000724.0], 'corps': [4.0]}"
199,Battle of the Falkland Islands,https://en.wikipedia.org/wiki/Battle_of_the_Falkland_Islands,8-Dec-14,8-Dec-14,"Off the Falkland Islands, South Atlantic52°29′58″S 56°9′59″W﻿ / ﻿52.49944°S 56.16639°W﻿ / -52.49944; -56.16639",British victory[1][2]  Destruction of the East Asia Squadron,United Kingdom,Germany,2 battlecruisers3 armoured cruisers2 light cruisers1 armed merchant cruiser1 grounded pre-dreadnought,2 armoured cruisers3 light cruisers3 transport ships,10 killed19 wounded1 Battlecruiser damaged 1 Armored Cruiser damaged,"1,871 killed215 captured2 armoured cruisers sunk2 light cruisers sunk2 transports scuttled",12/8/1914,12/8/1914,"{'killed': [10.0], 'wounded': [19.0], 'battlecruiser': [1.0], 'armored': [1.0]}","{'killed': [1871.0], 'captured': [215.0], 'armoured': [2.0], 'light': [2.0], 'transports': [2.0]}","{'battlecruisers': [2.0], 'armoured': [3.0], 'light': [2.0], 'armed': [1.0], 'grounded': [1.0]}","{'armoured': [2.0], 'light': [3.0], 'transport': [3.0]}"
200,Battle of St. Quentin (1914),https://en.wikipedia.org/wiki/Battle_of_St._Quentin_(1914),29,30-Aug-14,"Guise, France49°54′03″N 3°37′42″E﻿ / ﻿49.90083°N 3.62833°E﻿ / 49.90083; 3.62833",French victory[1][2][3][4][5][6][7][8][9],France,German Empire,Fifth Army,2nd Army,"10,000 casualties","7,000 casualties",8/29/1914,8/30/1914,{'casualties': [10000.0]},{'casualties': [7000.0]},{},{}
201,Battle of Turtucaia,https://en.wikipedia.org/wiki/Battle_of_Turtucaia,2,6-Sep-16,"Turtucaia, Kingdom of Romania (now Tutrakan, Bulgaria)",Bulgarian victory,Bulgaria German Empire,Romania,"31 battalions:55,000","19 battalions (initially):39,00036 battalions ,73,000(end phase)4 river monitors8 gunboats","Dead or wounded:9,205[1]","Dead or wounded: 7,500[2]Taken POW: 480 officers and22,000–28,000 soldiers[3][4][5]",9/2/1916,9/6/1916,{},"{'taken': [7500.0], 'officers': [480.0], 'soldiers': [28000.0]}",{'battalions': [31.0]},"{'battalions': [19.0, 3900036.0], 'river': [4.0], 'gunboats': [8.0]}"
202,Battle of the Ardennes,https://en.wikipedia.org/wiki/Battle_of_Ardennes,21,23-Aug-14,"Ardennes region, Belgian–French frontier50°15′N 5°40′E﻿ / ﻿50.250°N 5.667°E﻿ / 50.250; 5.667",German victory,France,Germany,Third Army Fourth Army,4th Army5th Army,"42,557","14,940",8/21/1914,8/23/1914,{},{},{},{}
203,Battle of Muş,https://en.wikipedia.org/wiki/Battle_of_Mu%C5%9F,3-Aug-16,24-Aug-16,"Muş, Ottoman Empire",Russian victory[NB 1],Ottoman Empire,"Russian Empire

Armenian volunteer units[1]","81,000[11]–120,000[12] men","50,000 men","56,000[12]–60,000 killed, wounded or captured[13][11]","20,000 killed, wounded and captured",8/3/1916,8/24/1916,{'killed': [60000.0]},{'killed': [20000.0]},"{'troops': [81000.0, 120000.0]}",{'troops': [50000.0]}
204,Battle of Durazzo (1915),https://en.wikipedia.org/wiki/Battle_of_Durazzo_(1915),28,29-Dec-15,"Off Durazzo, Adriatic Sea",Allied victory,Italy   France   United Kingdom,Austria-Hungary,4 light cruisers  9  destroyers  1 submarine,1 light cruiser  5 destroyers  1 submarine,1 submarine sunk  1 light cruiser damaged,2 destroyers sunk  1 light cruiser damaged  1 destroyer damaged,12/28/1915,12/29/1915,"{'submarine': [1.0], 'light': [1.0]}","{'destroyers': [2.0], 'light': [1.0], 'destroyer': [1.0]}","{'light': [4.0], 'destroyers': [9.0], 'submarine': [1.0]}","{'light': [1.0], 'destroyers': [5.0], 'submarine': [1.0]}"
205,Seventh Battle of the Isonzo,https://en.wikipedia.org/wiki/Seventh_Battle_of_the_Isonzo,14,17-Sep-16,"Gorizia, Italy",Italian tactical victory,Italy,Austria-Hungary,"240 battalions1,150 artillery pieces",150 battalions770 artillery pieces,"17,000–21,000","20,000[1]",9/14/1916,9/17/1916,{},{},"{'battalions': [240.0], 'artillery': [1150.0]}","{'battalions': [150.0], 'artillery': [770.0]}"
206,Battle of Kanzan,https://en.wikipedia.org/wiki/Battle_of_Kanzan,June 1915 (the siege then continued for about six months),June 1915 (the siege then continued for about six months),"Jabal Kanzan, Al Ahsa, Arabia25°34′N 49°42′E﻿ / ﻿25.567°N 49.700°E﻿ / 25.567; 49.700",Ajman tribe victory   Death of Saad bin Abdul Rahman,Ajman tribe,Emirate of Nejd and Hasa,"<1,500","6,000",150,"1,500 of Al Ahsa

900 of Nejd",6/1/1915,6/1/1915,{},"{'of': [1500.0, 900.0]}",{},{'troops': [6000.0]}
207,Battle of Manzikert (1915),https://en.wikipedia.org/wiki/Battle_of_Manzikert_(1915),10-Jul,"26, 1915[1]","Malazgirt, Bitlis Vilayet, Ottoman Empire39°08′52″N 42°32′39″E﻿ / ﻿39.1477°N 42.5441°E﻿ / 39.1477; 42.5441",Ottoman victory[2][3],Russian Empire,Ottoman Empire,"22,000[1]","Third Army40,000[1]","7,000–10,000[1]1,000 captured[4]","6,000 captured[1]",7/10/1915,7/26/1915,{'captured': [100001000.0]},{'captured': [6000.0]},{'troops': [22000.0]},{}
208,Battle of Tampere,https://en.wikipedia.org/wiki/Battle_of_Tampere,15-Mar,6 April 1918(3 weeks and 1 day),"Tampere, Finland",Finnish White victory,Finnish Whites Swedish Brigade,Finnish Reds,"16,000400 Swedish volunteers","14,000",820 killed,"2,000 killed or executed[1]  10,000–11,000 captured[1]",3/15/1918,4/6/1918,{'killed': [820.0]},"{'killed': [2000.0], 'captured': [11000.0]}",{'swedish': [16000400.0]},{'troops': [14000.0]}
209,First Battle of Oituz,https://en.wikipedia.org/wiki/First_Battle_of_Oituz,12,27-Oct-16,"Border of Austria-Hungary and Romania (today in Bacău and Covasna counties, eastern Romania)",Romanian victory,Romania,Austria-Hungary Germany,,,,,10/12/1916,10/27/1916,{},{},{},{}
210,Battle of Erzincan,https://en.wikipedia.org/wiki/Battle_of_Erzincan,2,25-Jul-16,"Erzincan, Erzurum Vilayet, Ottoman Empire",Russian victory,Russian Empire,Ottoman Empire,,,"12,000[1]","34,000, of them 17,000 captured[2]",7/2/1916,7/25/1916,{},"{'of': [34000.0], 'captured': [17000.0]}",{},{}
211,Battle of Ad-Dakim,https://en.wikipedia.org/wiki/Battle_of_Ad-Dakim,"June, 1915",5-Jul-15,"Ad-Dakim, Lahej Sultanate, Aden Protectorate",Ottoman victory,"Ottoman Empire

 Haushabi Sultanate","United Kingdom

 India
 Sultanate of Lahij",,,,,6/1/1915,7/5/1915,{},{},{},{}
212,Battle of Gumbinnen,https://en.wikipedia.org/wiki/Battle_of_Gumbinnen,20 August [O.S. 7 August] 1914,20 August [O.S. 7 August] 1914,"Gumbinnen, East Prussia (now Gusev, Russia)54°36′N 22°12′E﻿ / ﻿54.600°N 22.200°E﻿ / 54.600; 22.200",Russian victory,German Empire,Russian Empire,"74,400 men224 machine guns and 408 guns[1]","63,800 total252 machine guns and 408 guns[2]","10,000[3] to 14,607[4]","6,200[3] to 18,839",8/20/1914,8/20/1914,{'to': [10000.0]},{'to': [6200.0]},"{'troops': [74400.0], 'machine': [224.0], 'guns': [408.0]}","{'total': [63800.0, 63800.0], 'machine': [252.0], 'guns': [408.0]}"
213,First Battle of Przasnysz,https://en.wikipedia.org/wiki/First_Battle_of_Przasnysz,7-Feb,"28, 1915","Near Przasnysz, Congress Poland, Russian Empire (present-day Poland)",Russian victory  Germans fail plan to encircle Russians in Poland [1],German Empire,Russian Empire,"225,000 men[4]350 machine guns 750 guns","471,901 men[5] 636 machine guns 966 guns","60,000 casualties, including 14,000 POWs[6]58 cannons","40,000 casualties[7]",2/7/1915,2/28/1915,"{'casualties': [60000.0], 'pows': [14000.0], 'cannons': [58.0]}",{'casualties': [40000.0]},"{'troops': [225000.0], 'machine': [350.0], 'guns': [750.0]}","{'troops': [471901.0], 'machine': [636.0], 'guns': [966.0]}"
214,Attack at Fromelles,https://en.wikipedia.org/wiki/Battle_of_Fromelles,19,20-Jul-16,"Fromelles, Nord, France50°36′22.5″N 2°51′16.9″E﻿ / ﻿50.606250°N 2.854694°E﻿ / 50.606250; 2.854694",German victory,"British Empire

 Australia
 United Kingdom",German Empire,"10,000–15,000","c. 30,000","7,080","1,600–2,000",7/19/1916,7/20/1916,{},{},{},{}
215,Battle of Helsinki,https://en.wikipedia.org/wiki/Battle_of_Helsinki,12,13 April 1918(1 day),"Helsinki, Finland",German and White victory,German Empire Finnish Whites,Finnish Reds,"6,000 Germans2,000 Whites","1,500–2,000 in the combat units",54 Germans killed 23 Whites killed,"c. 400 killed or executed 4,000–6,000 captured",4/12/1918,4/13/1918,"{'germans': [54.0], 'whites': [23.0]}","{'killed': [400.0], 'captured': [6000.0]}","{'germans': [6000.0], 'whites': [2000.0]}","{'troops': [1500.0, 2000.0]}"
216,Battle of Prunaru,https://en.wikipedia.org/wiki/Battle_of_Prunaru,28-Nov-16,28-Nov-16,"Prunaru, Teleorman County, Romania",See aftermath  217th Division halted Left flank of the Danube Army subsequently exposed,Romania,German Empire,,,700 captured20 guns,Unknown,11/28/1916,11/28/1916,"{'captured': [700.0], 'guns': [20.0]}",{},{},{}
217,Second Battle of Artois,https://en.wikipedia.org/wiki/Second_Battle_of_Artois,9-May,18-Jun-15,"Artois, France50°30′N 2°45′E﻿ / ﻿50.500°N 2.750°E﻿ / 50.500; 2.750",See Aftermath section,"France   British Empire

 Canada
 India
 United Kingdom",German Empire,9 French and British divisions (initial)  20 divisions (final),18 divisions (final),"French: 102,500  British: 27,809 (Aubers Ridge: 11,161, Festubert: 16,648)","Germany: 73,072",5/9/1915,6/18/1915,"{'british': [102500.0], 'festubert': [11161.0]}",{},"{'french': [9.0], 'divisions': [20.0]}",{'divisions': [18.0]}
218,Battle of Mojkovac,https://en.wikipedia.org/wiki/Battle_of_Mojkovac,6,7-Jan-16,"Mojkovac, Kingdom of Montenegro42°58′N 19°35′E﻿ / ﻿42.96°N 19.58°E﻿ / 42.96; 19.58",Montenegrin victory,Montenegro,Austria-Hungary,"6,500 men25 cannons8 machine guns[1]","20,000 men45 cannons[1]","205 killed, wounded or missing[1]","700 killed, wounded or missing (224 killed)[1]",1/6/1916,1/7/1916,{'killed': [205.0]},"{'killed': [700.0, 224.0]}","{'troops': [6500.0], 'cannons': [25.0], 'machine': [8.0]}","{'troops': [20000.0], 'cannons': [45.0]}"
219,Battle of Mughar Ridge,https://en.wikipedia.org/wiki/Battle_of_Mughar_Ridge,13-Nov-17,13-Nov-17,"Junction Station, Mutasarrifate of Jerusalem, now  Israel",British Empire victory,"British Empire

 Australia
 United Kingdom
 New Zealand
 India",Ottoman Empire German Empire,,,"1,188+","10,000 prisoners,100 guns",11/13/1917,11/13/1917,{},"{'prisoners': [10000.0], 'guns': [100.0]}",{},{}
220,Battle of Galicia,https://en.wikipedia.org/wiki/Battle_of_Galicia,23-Aug,11-Sep-14,"Lemberg, Galicia (modern-day Lviv, Ukraine)49°51′00″N 24°01′00″E﻿ / ﻿49.8500°N 24.0167°E﻿ / 49.8500; 24.0167","Russian victory  Full results 45%-50% of all Austrian manpower on the Eastern Front was destroyed, Russia had captured a large territory into the Kingdom of Hungary[1][2][3]Russia's victory forced Austria to withdraw troops from the Serbian front, which eventually helped the Serbs win the campaign[4]Creation General Government of Galicia and Bukovina",Russian Empire,Austro-Hungarian Empire,"1,000,000[5] to 1,200,000","950,000","200,000–300,000:

40,000 captured","324,000–420,000:

100,000 dead
220,000 wounded
100,000–130,000 captured",8/23/1914,9/11/1914,{'captured': [40000.0]},"{'dead': [100000.0], 'wounded': [220000.0], 'captured': [130000.0]}",{'to': [1000000.0]},{'troops': [950000.0]}
221,Battle of Ukoko,https://en.wikipedia.org/wiki/Battle_of_Ukoko,21-Sep-14,21-Sep-14,"Ukoko, southern German Kamerun",Allied victory,"British Empire France

 French Equatorial Africa","Germany

 German Kamerun",250[1],Unknown1 steamer1 armed launch,7 killed[1],20 killed[2]1 steamer sunk1 armed launch sunk,9/21/1914,9/21/1914,{'killed': [7.0]},"{'killed': [20.0], 'steamer': [1.0], 'armed': [1.0]}",{'troops': [250.0]},"{'steamer': [1.0], 'armed': [1.0]}"
222,Battle of the Hills,https://en.wikipedia.org/wiki/Third_Battle_of_Champagne,17,20-Apr-17,"province of Champagne, France49°00′N 04°00′E﻿ / ﻿49.000°N 4.000°E﻿ / 49.000; 4.000",Inconclusive,France,Germany,13 divisions,17 divisions,"21,697","6,120 prisoners",4/17/1917,4/20/1917,{},{'prisoners': [6120.0]},{'divisions': [13.0]},{'divisions': [17.0]}
223,Battle of Ruovesi,https://en.wikipedia.org/wiki/Battle_of_Ruovesi,5-Feb,19 March 1918(1 month and 2 weeks),"Ruovesi, Finland",Red/Soviet retreat,Finnish Whites,Finnish Reds Russia,800–900,300–400 Reds500–600 Russians,47 killed,61 Reds killed11+ Russians killed,2/5/1918,3/19/1918,{'killed': [47.0]},{'reds': [61.0]},{},"{'reds': [300.0, 400.0], 'russians': [500.0, 600.0]}"
224,Battle of Dragoslavele,https://en.wikipedia.org/wiki/Battle_of_Dragoslavele,26,27-Oct-16,"Dragoslavele, Romania",Romanian victory,Romania,German Empire Austria-Hungary,,,Unknown,300 prisoners (27 October),10/26/1916,10/27/1916,{},"{'prisoners': [300.0], 'october': [27.0]}",{},{}
225,Battle of Festubert,https://en.wikipedia.org/wiki/Battle_of_Festubert,15,25-May-15,"South of Neuve Chapelle, France50°32′38″N 2°44′10″E﻿ / ﻿50.54389°N 2.73611°E﻿ / 50.54389; 2.73611",German victory,"British Empire

 Canada
 India[1]
 United Kingdom","German Empire

 Bavaria
 Prussia",6 divisions,3 divisions,"16,648","c. 5,000",5/15/1915,5/25/1915,{},{},{'divisions': [6.0]},{'divisions': [3.0]}
226,Battle of Seray Mountain,https://en.wikipedia.org/wiki/Battle_of_Seray_Mountain,5-May-17,13 August 1917[3],"Mavana, Persia",Assyrian victory[4][3],"Assyrian volunteers

Supporters:  Russian Empire [1] Qajar State[2]","Ottoman Empire

5th Division[2]
6th Division[2]","1,200[4]","Less than 6,000[4]",Unknown,Heavy24 officers captured[2]Mountain Cannon captured among other weapons[4],5/5/1917,8/13/1917,{},{'officers': [24.0]},{'troops': [1200.0]},{}
227,Battle of Bakhmach,https://en.wikipedia.org/wiki/Battle_of_Bakhmach,8,13-Mar-18,"Bakhmach, now Ukraine",Czechoslovak Legion/Soviet victory,"Entente Powers:
 Czechoslovak Legions


 Soviet Russia",Central Powers: Germany,"Parts of the 6th Hanácký Regiment, the 7th Tatranský Regiment and the 4th Prokop Holý Regiment","224th Infantry Division, 91st Infantry Division","145 killed, 210 wounded, 41 missing","around 300 killed, hundreds wounded",3/8/1918,3/13/1918,"{'killed': [145.0], 'wounded': [210.0], 'missing': [41.0]}",{'killed': [300.0]},{},{}
228,Affair of Khra,https://en.wikipedia.org/wiki/Battle_of_Chra,22-Aug-14,22-Aug-14,"River Khra (Chra), German Togoland7°10.24′N 1°09.52′E﻿ / ﻿7.17067°N 1.15867°E﻿ / 7.17067; 1.15867",Allied victory,"British Empire

 Gold Coast
 France

 French Dahomey","Germany

 Togoland",British: 300France: 158,German Empire: 460–560,Britain 31France: 44,German Empire: 13,8/22/1914,8/22/1914,{'france': [31.0]},{},{},{}
229,Battle of Mărăști,https://en.wikipedia.org/wiki/Battle_of_M%C4%83r%C4%83%C8%99ti,22-Jul,1-Aug-17,"Mărăști, Eastern Romania",Romanian–Russian victory,Romania Russia,German Empire Austria-Hungary,56 infantry battalions14 cavalry squadrons228 batteries (52 heavy)12 air squadrons,28 infantry battalions36 cavalry squadrons142 batteries (6 heavy),"4,879 casualties(1,460 killed; 3,419 wounded or missing)","9,600 casualties(2,200 killed; 4,700 wounded or missing; 2,700 captured)",7/22/1917,8/1/1917,"{'casualties': [4879.0], 'killed': [1460.0], 'wounded': [3419.0]}","{'casualties': [9600.0], 'killed': [2200.0], 'wounded': [4700.0], 'captured': [2700.0]}","{'infantry': [56.0], 'cavalry': [14.0], 'batteries': [228.0], 'heavy': [52.0], 'air': [12.0]}","{'infantry': [28.0], 'cavalry': [36.0], 'batteries': [142.0], 'heavy': [6.0]}"
230,Battle of Lone Pine,https://en.wikipedia.org/wiki/Battle_of_Lone_Pine,6,10-Aug-15,"Gallipoli, Ottoman Empire (present-day Turkey)",Allied victory,"British Empire

 Australia
 New Zealand",Ottoman Empire,"1 brigade, reinforced by 2 more battalions[1]","2 battalions, reinforced by 3 regiments[1][2]","2,277[3]","~5,000–7,000[3][4]",8/6/1915,8/10/1915,{},{},"{'brigade': [1.0], 'more': [2.0]}","{'battalions': [2.0], 'regiments': [3.0]}"
231,First Battle of the Aisne,https://en.wikipedia.org/wiki/First_Battle_of_the_Aisne,13,28-Sep-14,"Aisne River, France49°26′N 3°40′E﻿ / ﻿49.433°N 3.667°E﻿ / 49.433; 3.667",Indecisive,France United Kingdom,German Empire,Fifth Army Sixth Army BEF,First Army Second Army Seventh Army,"Unknown  13,541 killed or wounded",Unknown,9/13/1914,9/28/1914,{'killed': [13541.0]},{},{},{}
232,Battle of Kilimanjaro,https://en.wikipedia.org/wiki/Battle_of_Kilimanjaro,3-Nov-14,3-Nov-14,"Longido District, Arusha, German East Africa3°4′33″S 37°21′12″E﻿ / ﻿3.07583°S 37.35333°E﻿ / -3.07583; 37.35333",German victory,"German Empire

 German East Africa","British Empire

 India",686,"~1,500",109,312,11/3/1914,11/3/1914,{},{},{'troops': [686.0]},{'troops': [1500.0]}
